"method","test_season","season","geo_level","K","lambda_K","n_weeks"
"clustergeoaug","2025/26","2025/26","state",1,0,26
"clustergeoaug","2025/26","2025/26","county",254,1,26
"clustergeoaug","2025/26",NA,"cluster",21,0.575324422201036,26
"clustergeoaug","2025/26",NA,"rac",22,0.620463726706863,26
"clustergeoaug","2025/26",NA,"dshs",8,0.478738291022101,26
"clustergeoaug","2025/26",NA,"hsa",61,0.76844338042324,26
"clustergeoaug","2025/26","2025/26","state",1,0,26
"clustergeoaug","2025/26","2025/26","county",254,1,26
"clustergeoaug","2025/26",NA,"cluster",23,0.588162299811727,26
"clustergeoaug","2025/26",NA,"rac",22,0.620463726706863,26
"clustergeoaug","2025/26",NA,"dshs",8,0.478738291022101,26
"clustergeoaug","2025/26",NA,"hsa",61,0.76844338042324,26
"clustergeoaug","2025/26","2025/26","state",1,0,26
"clustergeoaug","2025/26","2025/26","county",254,1,26
"clustergeoaug","2025/26",NA,"cluster",31,0.662545453987695,26
"clustergeoaug","2025/26",NA,"rac",22,0.620463726706863,26
"clustergeoaug","2025/26",NA,"dshs",8,0.478738291022101,26
"clustergeoaug","2025/26",NA,"hsa",61,0.76844338042324,26
"clustergeoaug","2025/26","2025/26","state",1,0,26
"clustergeoaug","2025/26","2025/26","county",254,1,26
"clustergeoaug","2025/26",NA,"cluster",45,0.738256169311312,26
"clustergeoaug","2025/26",NA,"rac",22,0.620463726706863,26
"clustergeoaug","2025/26",NA,"dshs",8,0.478738291022101,26
"clustergeoaug","2025/26",NA,"hsa",61,0.76844338042324,26
"clustergeoaug","2025/26","2025/26","state",1,0,26
"clustergeoaug","2025/26","2025/26","county",254,1,26
"clustergeoaug","2025/26",NA,"cluster",61,0.766252637884941,26
"clustergeoaug","2025/26",NA,"rac",22,0.620463726706863,26
"clustergeoaug","2025/26",NA,"dshs",8,0.478738291022101,26
"clustergeoaug","2025/26",NA,"hsa",61,0.76844338042324,26
"clustergeoaug","2025/26","2025/26","state",1,0,26
"clustergeoaug","2025/26","2025/26","county",254,1,26
